Salida;Vehículo Liviano;8.94;1/3/2019;00:25:53
Ingreso;Vehículo Pesado;7.56;1/3/2019;00:25:54
Ingreso;Vehículo Pesado;8.52;1/3/2019;00:25:54
Salida;Vehículo Liviano;10.94;1/3/2019;00:26:00
Salida;Vehículo Liviano;11.78;1/3/2019;00:26:03
Salida;Vehículo Liviano;10.96;1/3/2019;00:26:06
Salida;Vehículo Liviano;17.14;1/3/2019;00:26:07
Salida;Vehículo Liviano;12.13;1/3/2019;00:26:07
Ingreso;Vehículo Pesado;8.8;1/3/2019;00:26:08
Ingreso;Vehículo Pesado;5.51;1/3/2019;00:26:08
Salida;Vehículo Liviano;20.85;1/3/2019;00:26:11
Salida;Vehículo Liviano;10.53;1/3/2019;00:26:12
Ingreso;Vehículo Pesado;6.71;1/3/2019;00:26:17
Salida;Vehículo Liviano;8.88;1/3/2019;00:26:23
Salida;Vehículo Liviano;8.3;1/3/2019;00:26:25
Ingreso;Vehículo Pesado;9.45;1/3/2019;00:26:43
Ingreso;Vehículo Pesado;7.71;1/3/2019;00:26:46
Salida;Vehículo Liviano;42.02;1/3/2019;00:26:48
Ingreso;Vehículo Pesado;11.65;1/3/2019;00:26:50
Ingreso;Vehículo Pesado;5.85;1/3/2019;00:26:51
Ingreso;Vehículo Pesado;6.65;1/3/2019;00:26:53
Salida;Vehículo Liviano;9.88;1/3/2019;00:26:57
Salida;Vehículo Liviano;7.32;1/3/2019;00:26:57
Salida;Vehículo Liviano;12.6;1/3/2019;00:26:59
Salida;Vehículo Liviano;14.99;1/3/2019;00:27:00
Ingreso;Vehículo Pesado;6.6;1/3/2019;00:27:00
Ingreso;Vehículo Pesado;8.54;1/3/2019;00:27:03
Salida;Vehículo Liviano;39.48;1/3/2019;00:27:05
Ingreso;Vehículo Pesado;11.39;1/3/2019;00:27:15
Salida;Vehículo Liviano;11;1/3/2019;00:27:16
Ingreso;Vehículo Pesado;13.04;1/3/2019;00:27:17
Ingreso;Vehículo Pesado;9.87;1/3/2019;00:27:19
Salida;Vehículo Liviano;11.63;1/3/2019;00:27:21
Salida;Vehículo Liviano;11.23;1/3/2019;00:27:40
Ingreso;Vehículo Pesado;9.32;1/3/2019;00:27:42
Ingreso;Vehículo Pesado;10.64;1/3/2019;00:27:42
Ingreso;Vehículo Pesado;14.86;1/3/2019;00:27:44
Ingreso;Vehículo Pesado;10.32;1/3/2019;00:27:47
Salida;Vehículo Liviano;12.68;1/3/2019;00:27:51
Salida;Vehículo Liviano;7.05;1/3/2019;00:27:52
Salida;Vehículo Liviano;21.49;1/3/2019;00:27:53
Ingreso;Vehículo Pesado;6.52;1/3/2019;00:27:54
Ingreso;Vehículo Mediano;12.16;1/3/2019;00:27:58
Ingreso;Vehículo Pesado;89.85;1/3/2019;00:27:59
Ingreso;Vehículo Pesado;6.53;1/3/2019;00:27:59
Salida;Vehículo Liviano;16.05;1/3/2019;00:28:02
Ingreso;Vehículo Pesado;9.36;1/3/2019;00:28:05
Salida;Vehículo Liviano;10.08;1/3/2019;00:28:08
Ingreso;Vehículo Pesado;8.96;1/3/2019;00:28:08
Salida;Vehículo Liviano;10.08;1/3/2019;00:28:11
Salida;Vehículo Liviano;16.73;1/3/2019;00:28:17
Ingreso;Vehículo Liviano;18.8;1/3/2019;00:28:17
Salida;Vehículo Liviano;8.48;1/3/2019;00:28:20
Ingreso;Vehículo Pesado;5.49;1/3/2019;00:28:20
Ingreso;Vehículo Pesado;7.59;1/3/2019;00:28:22
Salida;Vehículo Pesado;19.9;1/3/2019;00:28:23
Salida;Vehículo Liviano;9.63;1/3/2019;00:28:28
Ingreso;Vehículo Pesado;7.5;1/3/2019;00:28:28
Ingreso;Vehículo Pesado;6.13;1/3/2019;00:28:41
Ingreso;Vehículo Pesado;10.94;1/3/2019;00:28:42
Salida;Vehículo Liviano;7.96;1/3/2019;00:28:44
Ingreso;Vehículo Pesado;9.35;1/3/2019;00:28:44
Ingreso;Vehículo Pesado;6.38;1/3/2019;00:28:50
Ingreso;Vehículo Pesado;9.92;1/3/2019;00:28:58
Ingreso;Vehículo Pesado;7.97;1/3/2019;00:29:04
Ingreso;Vehículo Pesado;6.91;1/3/2019;00:29:18
Salida;Vehículo Liviano;34.38;1/3/2019;00:29:32
Ingreso;Vehículo Pesado;25.99;1/3/2019;00:29:39
Ingreso;Vehículo Pesado;28.84;1/3/2019;00:30:18
Ingreso;Vehículo Liviano;35.15;1/3/2019;00:30:33
Salida;Vehículo Pesado;33.24;1/3/2019;00:31:16
Salida;Vehículo Liviano;26.82;1/3/2019;00:31:32
Ingreso;Vehículo Liviano;37.91;1/3/2019;00:32:02
Salida;Vehículo Liviano;10.97;1/3/2019;00:32:30
Salida;Vehículo Liviano;82.55;1/3/2019;00:32:31
Salida;Vehículo Liviano;119.99;1/3/2019;00:32:35
Ingreso;Vehículo Liviano;16.99;1/3/2019;00:32:44
Ingreso;Vehículo Liviano;19.29;1/3/2019;00:33:26
Ingreso;Vehículo Liviano;91.23;1/3/2019;00:33:29
Ingreso;Vehículo Liviano;11.08;1/3/2019;00:34:28
Ingreso;Vehículo Liviano;65.63;1/3/2019;00:34:47
Ingreso;Vehículo Pesado;36.9;1/3/2019;00:34:50
Ingreso;Vehículo Pesado;11.9;1/3/2019;00:34:53
Ingreso;Vehículo Liviano;11.27;1/3/2019;00:35:33
Salida;Vehículo Liviano;38.97;1/3/2019;00:35:43
Ingreso;Vehículo Liviano;33.92;1/3/2019;00:35:49
Ingreso;Vehículo Pesado;26.57;1/3/2019;00:35:54
Salida;Vehículo Liviano;13.19;1/3/2019;00:36:10
Salida;Vehículo Liviano;56.45;1/3/2019;00:37:19
Ingreso;Vehículo Liviano;82.78;1/3/2019;00:37:40
